ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	200	-0.452602684424324	-1.59108277435872	0.00123762376237624	0.00592627711271779	0.00199621965902073	3542	tags=42%, list=19%, signal=34%	GMFB/PRCP/PRKCD/SERPINB2/CTSD/L3MBTL4/CR1/FN1/CXCL1/HPCAL4/COL4A2/ANXA5/CCL5/DGKH/GZMB/DUSP6/LGALS3/CD40LG/ZFPM2/ANG/GNB4/FYN/IRF1/PIK3CG/LCP2/GATA3/C3/CALM1/F3/PPP2CB/LTA4H/GNAI2/JAK2/CPQ/CD59/EHD1/WAS/PHEX/CASP5/GNG2/TIMP2/CD55/CTSO/DOCK9/TNFAIP3/CSRP1/PLEK/SH2B3/LRP1/GNGT2/GP9/CTSS/CPM/ITGAM/CLU/CASP1/LIPA/SERPINA1/PIK3R5/MAFF/C2/ZEB1/C1QC/FCER1G/PDGFB/ACTN2/CTSH/SERPING1/F8/F10/DOCK4/CDH13/APOC1/NOTCH4/FCN1/C1QA/S100A12/IL6/CA2/PCSK9/OLR1/CD36/SPOCK2
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	200	-0.586962467739977	-2.06341213553344	0.00123762376237624	0.00592627711271779	0.00199621965902073	2983	tags=42%, list=16%, signal=36%	VIP/ATP2C1/TACR1/CD14/IL18/KCNMB2/PTGER2/IL18RAP/CSF1/BEST1/CD40/CCL17/TNFRSF1B/IRF1/HAS2/INHBA/LCP2/NLRP3/FZD5/F3/CDKN1A/IL10RA/TLR3/IL1R1/KCNJ2/CD82/TNFSF10/PDE4B/ABCA1/TLR2/CD55/PROK2/ITGA5/NFKBIA/SLC4A4/C3AR1/ICAM1/MEFV/P2RX7/CCL2/CMKLR1/KCNA3/RGS16/PTGIR/EMP3/PIK3R5/SGMS2/PTAFR/IL1B/IL18R1/AXL/APLNR/SCARF1/SLC31A2/CD69/CX3CL1/BTG2/SELE/IL1A/ROS1/CSF3R/CCRL2/CYBB/PDPN/PTGER4/KLF6/AQP9/RNF144B/NMUR1/FPR1/CCL24/LDLR/C5AR1/EDN1/IL6/IL7R/ADGRE1/MSR1/HBEGF/CALCRL/OLR1/GPC3/CSF3/LAMP3/MARCO
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	200	-0.456138867209018	-1.60351389708365	0.00123762376237624	0.00592627711271779	0.00199621965902073	2484	tags=42%, list=13%, signal=37%	DUSP6/BTBD3/ANO1/RELN/CDADC1/VWA5A/TNNT2/TRIB1/MAFB/F13A1/EVI5/GLRX/IGF2/TNFRSF1B/GUCY1A1/INHBA/IKZF1/IL10RA/ADGRA2/GPNMB/SPRY2/ITGB2/PEG3/TSPAN13/USP12/CLEC4A/SATB1/TNFAIP3/C3AR1/TFPI/PTGS2/LAT2/NAP1L2/DOCK2/CTSS/ID2/SPON1/MTMR10/CMKLR1/ABCB1/HSD11B1/RGS16/IRF8/IL1B/PDCD1LG2/ADGRL4/ETV5/CD37/EPB41L3/FLT4/ETS1/LAPTM5/LCP1/CAB39L/FCER1G/CCND2/ETV1/ALDH1A2/EMP1/NR0B2/ENG/AKAP12/PPP1R15A/ACE/GYPC/TLR8/PIGR/GNG11/PRKG2/BMP2/SEMA3B/SPARCL1/IL7R/CA2/SLPI/WNT7A/PECAM1/KLF4/TSPAN7/IL33/PPBP/HBEGF/RBP4/RETN/TMEM100
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	198	-0.442874361953532	-1.55682225485668	0.00124378109452736	0.00592627711271779	0.00199621965902073	3357	tags=42%, list=18%, signal=35%	RABGAP1L/CISH/ANXA4/GUCY1B1/CD48/TNFRSF8/DHRS3/HK2/SWAP70/GSTO1/PTGER2/LRIG1/CSF1/SERPINB6/RNH1/PTCH1/CAPN3/CST7/TNFRSF1B/ALCAM/NFIL3/WLS/TIAM1/ICOS/GATA1/DENND5A/RRAGD/IL10RA/CCND3/PRNP/NFKBIZ/RHOB/ITGA6/TNFSF10/SYT11/CD86/PLIN2/PENK/CD81/TLR7/FGL2/MYO1C/IFNGR1/PRKCH/TGM2/MAP3K8/LRRC8C/RORA/GPR65/ABCB1/HOPX/RGS16/GABARAPL1/IRF8/SPRY4/CDKN1C/MAFF/IL18R1/CD44/PLAGL1/BMPR2/MAP6/SLC2A3/DRC1/CCND2/SHE/EMP1/GADD45B/GBP4/CD83/IL3RA/PTH1R/KLF6/SOCS2/BMP2/ITIH5/AHNAK/SELP/GLIPR2/CA2/IL1RL1/SLC39A8/AGER
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	199	-0.46575462837028	-1.63492185096417	0.00124688279301746	0.00592627711271779	0.00199621965902073	2920	tags=23%, list=15%, signal=20%	SSPN/ATP1B3/SOWAHC/APLP2/RNF11/PFKFB3/ADIPOR2/PGM1/C3/STAT5A/ACAA2/QDPR/EPHX2/ABCA1/SLC19A1/OMD/PLIN2/RMDN3/MGLL/IFNGR1/LPCAT3/ENPP2/LAMA4/SULT1A1/STOM/MYLK/ALDH2/CD302/SORBS1/FZD4/LIFR/PPARG/CAT/SPARCL1/ITIH5/HSPB8/CAVIN1/ANGPT1/GPX3/LPL/ACADL/CD36/RETN/CAVIN2/CYP4B1/FABP4
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	199	-0.430279707592007	-1.51039550252064	0.00124688279301746	0.00592627711271779	0.00199621965902073	4167	tags=41%, list=22%, signal=32%	ARID5B/IL4R/HLA-G/TDRD7/RTP4/DDX60/OAS2/GZMA/IDO1/IL15RA/CMPK2/ZNFX1/LYSMD2/SOD2/MARCHF1/TRIM21/IL7/IFI27/CD38/IL15/NOD1/CCL5/HLA-B/MYD88/PTPN6/IFITM2/VAMP5/SSPN/BTG1/IFIT1/CIITA/TRIM25/SAMD9L/WARS1/CD40/IRF1/FAS/LCP2/RSAD2/SECTM1/CDKN1A/IL10RA/MT2A/HLA-DMA/JAK2/TNFSF10/PDE4B/CD86/BANK1/FGL2/B2M/NFKBIA/TNFAIP3/PTPN1/IFIT3/PTGS2/IFIT2/HLA-DQA1/ICAM1/CD74/FCGR1A/CASP1/CCL2/EIF4E3/CMKLR1/CD274/TXNIP/LATS2/CSF2RB/SOCS3/IRF8/CD69/OASL/SAMHD1/P2RY14/HLA-DRB1/SERPING1/GBP4/FPR1/IL6/SELP
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	199	-0.512131193260859	-1.79771585169707	0.00124688279301746	0.00592627711271779	0.00199621965902073	2445	tags=34%, list=13%, signal=30%	PVALB/PYGM/LSP1/PPP1R3C/CKB/CDKN1A/CNN3/IGFBP7/PRNP/TNNT3/GSN/TAGLN/SPTAN1/MYOM2/MEF2A/CTF1/SGCD/LDB3/CAV3/FOXO4/DMD/LAMA2/NOTCH1/MYO1C/ACSL1/MYL3/WWTR1/FKBP1B/CLU/ABLIM1/MRAS/SCD/APLNR/PKIA/SORBS3/ADCY9/HSPB2/MYLK/SOD3/NOS1/AK1/ACTN2/GADD45B/PTGIS/SORBS1/REEP1/CDH13/GJA5/TNNI2/FGF2/COX7A1/MYOZ1/CASQ2/DAPK2/SGCA/CRYAB/FXYD1/MYH11/HSPB8/HBEGF/GPX3/CFD/SGCG/VIPR1/CD36/DES/FHL1/TNNC1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	-0.607995100575996	-2.13422350452864	0.00124688279301746	0.00592627711271779	0.00199621965902073	3599	tags=54%, list=19%, signal=44%	EIF1/NFAT5/FOSL2/SOD2/SERPINB2/PLK2/ATP2B1/CXCL1/LITAF/G0S2/CCL5/IRS2/TNF/NFE2L2/MCL1/SERPINB8/TRIB1/BTG1/IL18/KDM6B/SLC2A6/CSF1/PFKFB3/PNRC1/CCL4/JAG1/IRF1/NFIL3/SDC4/CFLAR/ACKR3/INHBA/IER2/DENND5A/SIK1/F3/CDKN1A/AREG/STAT5A/RHOB/IL6ST/CEBPD/EHD1/PDE4B/ABCA1/TLR2/TSC22D1/NFKBIA/TNFAIP3/NR4A2/PTGS2/TIPARP/IFIT2/PLEK/KLF10/ICAM1/SLC16A6/JUNB/MAP3K8/ETS2/ID2/JUN/CCL2/SOCS3/MAFF/IL1B/CD44/SGK1/DNAJB4/PTX3/CD69/PER1/BCL2A1/SLC2A3/EGR3/PLPP3/DRAM1/CXCL3/BTG2/IL1A/GADD45B/CD83/CCRL2/KLF9/FOS/EGR2/RCAN1/CCN1/PTGER4/ATF3/PPP1R15A/ZFP36/KLF6/EGR1/DUSP1/KLF2/NR4A1/LDLR/NR4A3/BMP2/CXCL2/EDN1/IL6/IL7R/KLF4/HBEGF/OLR1/FOSB
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	144	-0.499256004028986	-1.69972658698778	0.00129198966408269	0.00592627711271779	0.00199621965902073	3593	tags=42%, list=19%, signal=35%	KCNMA1/SCHIP1/KIT/BMPR1A/ATP2B1/ADD3/ANXA4/DMAC2L/ANXA2/PRKAR2B/ATP2C1/RBPMS/NFIB/NR3C1/FYN/HAS2/ATP2B4/RND3/RXRA/F3/ZMIZ1/VLDLR/PIK3R3/MAGI2/CDON/TJP1/MT1E/MGLL/TFPI/NEK7/PLCB4/APBB2/SMAD7/INSIG1/AKT3/DAB2/CITED2/SYNE1/SDC2/PMP22/CELF2/ID1/PLPP3/PTGFR/PTPRM/GJA1/BDNF/PRKCE/CCN1/TGFBR2/PPARG/DUSP1/ADGRL2/EFEMP1/LDLR/FBLN5/PTPN21/GRK5/DLC1/TGFBR3/CAV1
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	112	-0.497988608948053	-1.65302900109042	0.0013531799729364	0.00592627711271779	0.00199621965902073	2436	tags=27%, list=13%, signal=23%	SULT1B1/RXRA/HSD17B11/CYP39A1/AR/RBP1/GNMT/CH25H/EPHX2/ABCA1/IDI1/ACSL1/ABCA6/HSD17B4/SULT2B1/ABCA9/DHCR24/NR3C2/APOA1/SLCO1A2/BMP6/NR0B2/AQP9/CYP27A1/ALDH1A1/CAT/RXRG/ABCA8/ABCA3/HSD17B6
